字段1,字段2,字段3,字段4,文本,文本1
"
							:上汽集团(600104)上汽集团：600104 13.82 0.80%  自选1月份销售新能源车6.4万辆，同比翻番。为什么和下面各厂家报的数字对不上？上汽大众超10000辆，上汽通用7295辆，五菱41066辆，智己5305辆，飞凡、荣威、名爵、大通等只有300辆？怎么回事呢？ 
						","
							您好，主要是批零统计口径的差异。感谢您的关注。
						",2024年02月02日 15:37,2024年02月08日 16:15,上汽集团,(600104)
"
							:上汽集团(600104)上汽集团2023年第三季度利润有多少是上汽大众贡献的？有多少是上汽通用贡献的？有多少是上汽乘用车贡献的？ 
						","
							您好，公司将在年度报告中披露主要企业的盈利贡献情况。感谢您的关注。
						",2024年02月01日 16:41,2024年02月08日 16:15,上汽集团,(600104)
"
							:上汽集团(600104)为什么每年第四季度销量最高，但是单季度利润最少，成本主要体现在哪里，就不能削减成本吗？ 
						","
							您好，主要是与费用计提和进行资产减值测试有关。感谢您的关注。
						",2024年01月31日 14:30,2024年02月08日 16:15,上汽集团,(600104)
"
							:上汽集团(600104)Y经问过多次了，都没有回复，董秘真的挺忙啊，就是公司股价不见长。别家都几十倍市盈率啦，咱家还在破市净率。几年时间从行业龙头做到如今，是不是该给股东们个说法。要我说你们是崽卖爷田心不疼？
						","
							您好，感谢您的关注。
						",2024年01月31日 09:56,2024年02月08日 16:13,上汽集团,(600104)
"
							:上汽集团(600104)上汽以前那些油车库存大不大，是否存在滞销，产品线是否已经根据发展规划进行转变，预计什么时候新能源产线超过油车，是否会和比亚迪一样全面生产电车，油车那块产业链是否不久将会是不断产生固定成本的负资产，请回答谢谢 
						","
							您好，公司在加快向智能电动车新赛道转型的过程中，将坚持稳中求进、以进促稳、先立后破的工作总基调，把握好市场需求变化的趋势和节奏，积极稳妥推进传统业务的转型，合理优化生产资源配置，并加大海外市场的开拓力度，有针对性地做好产品投放，更好满足全球用户的差异化需求。
						",2024年01月29日 10:36,2024年02月08日 16:13,上汽集团,(600104)
"
							:上汽集团(600104)要完成新能源2025年350万辆的目标， 2024年的新能源目标是多少 ？ 谢谢 
						","
							您好，公司将在年报中披露相关经营目标。
						",2024年01月29日 10:06,2024年02月08日 16:12,上汽集团,(600104)
"
							:上汽集团(600104)据网友爆料，上汽研发总院负责飞凡品牌智能驾驶业务开发的团队PP-CEM负责人离职，且团队上百人全部裁撤。员工可选择内部转岗或签订N 1离职。其中高阶智驾团队可转岗至上汽集团旗下零束，低阶智驾团队则转至上汽研发总院智驾部门。
以上是否属实 
						","
							您好，谢谢关注。
						",2024年01月26日 14:14,2024年02月08日 16:11,上汽集团,(600104)
"
							:上汽集团(600104)董秘你好，近段时间国务院国资委称正在研究把市值管理纳入央企负责人业绩考核，这对于国方国企负责人，是否需要未雨绸缪，毕竟上汽现在的市净率可以刚到0.56，这业绩水平令人发指。希望上汽管理层出台更为合适的市值管理措施，比如加大回购注销的力度，早日把市值拉回净值之上
						","
							您好，感谢您的建议。
						",2024年01月26日 11:28,2024年02月08日 16:11,上汽集团,(600104)
"
							:上汽集团(600104)董秘，你好！请问上汽集团固态电池项目现在有没有进行实质性生产销售了？
						","
							您好，从今年起，半固态电池将率先在智己L6等新品上实现量产应用，公司正加紧推进相关工作，力争早日将产品投放市场。
						",2024年01月25日 13:38,2024年02月08日 16:08,上汽集团,(600104)
"
							:上汽集团(600104)公司每天都有大量转融通，而你身为董秘又不承认大股东转融通是否涉嫌信息披露违法，公开数据都可以查到的转融通，具体是哪个大股东再转融通可否公告出来，否则广大股民有权向证监会举报公司董秘涉嫌信息披露违法，身为董秘，你这样很不称职，公司股价屡创新低，大股东却在不断转融通，坑害广大投资者，回购股票也不积极，正面回答问题
						","
							您好，公司没有应披露而未披露的重大事项，谢谢。
						",2024年01月23日 15:50,2024年02月08日 16:08,上汽集团,(600104)
