company_name,company_code,question,answer,ask_date
上汽集团,(600104),上汽集团2023年第三季度利润中，有多少是由上汽大众贡献的？有多少是由上汽通用贡献的？又有多少是由上汽乘用车贡献的？,公司将在年度报告中披露主要企业的盈利贡献情况。,2024年02月01日
上汽集团,(600104),为什么上汽集团每年第四季度销量最高，但是单季度利润最少，成本主要体现在哪里，上汽集团就不能削减成本吗？,主要是与费用计提和进行资产减值测试有关。,2024年01月31日
上汽集团,(600104),上汽集团以前那些油车库存大不大，是否存在滞销情况，产品线是否已经根据上汽集团的发展规划进行转变，预计何时新能源产线产量能超过油车，是否会像比亚迪一样全面生产电车，关于油车那块产业链，未来是否不久将会成为不断产生固定成本的负资产，请给出回答。,公司在向智能电动车新赛道转型的过程中，将坚持稳中求进、以进促稳、先立后破的工作总基调，紧跟市场需求变化的趋势和节奏，积极稳妥推进传统业务的转型。同时，公司将合理优化生产资源配置，并加大海外市场开拓力度，有策略地投放产品，以满足全球用户的不同需求。,2024年01月29日
上汽集团,(600104),上汽集团要完成2025年350万辆的新能源目标，2024年的新能源目标是多少？,公司将在年报中披露相关经营目标。,2024年01月29日
上汽集团,(600104),上汽集团固态电池项目现在有没有进行实质性生产销售了？,从今年起，半固态电池将在智己L6等新品上实现量产应用，公司正加紧推进相关工作，力争早日将产品投放市场。,2024年01月25日
上汽集团,(600104),上汽集团每天都有大量转融通，而上汽集团身为董秘又不承认大股东转融通是否涉嫌信息披露违法，公开数据均可查到的转融通，具体是上汽集团哪个大股东在进行转融通可否公告出来，否则广大股民有权向证监会举报上汽集团董秘涉嫌信息披露违法。身为上汽集团董秘，此种行为很不称职。上汽集团股价屡创新低，大股东却在不断进行转融通，可能对广大投资者造成损害，同时公司在回购股票方面也不够积极，请正面回答问题。,公司没有应披露而未披露的重大事项。,2024年01月23日
上汽集团,(600104),上汽集团23年三季报显示，上汽集团净现金流同比大幅降低130.48%。根据碧湾APP分析，上汽集团净现金流为-156.61亿元，去年同期为513.75亿元，由正转负的原因是上汽集团偿还债务支付的现金本期为721.29亿元，同比增加37.29%。请问偿还债务支付的现金增加的原因是什么？,2023年三季报中，公司净现金流量下降主要源于投资活动现金净流量的同比下降。报告期内，子公司上海汽车集团财务有限责任公司为满足流动性需求，调整了金融资产配置，导致投资支付的现金同比有所增加。,2024年01月22日
上汽集团,(600104),年报分红会不会和去年一样，低于上汽集团当年实现利润的30%？分红变少，是否意味着上汽集团企业经营压力增大，业绩预期变差？,《公司章程》明确规定，年度内现金分红总额（包括中期已分配的现金红利）不低于当年度经审计合并报表归属于上市公司股东净利润的百分之三十。公司实施股票回购所支付的现金将视同现金股利。公司会充分考虑投资者回报及公司可持续发展的需求，合理规划年度分红方案。,2024年01月22日
上汽集团,(600104),上汽集团的IMOS相关的软件开发是否采用了SDLC进行生命周期管理以提高软件质量；及上汽集团是否对相关的软件建立了SDL软件安全开发周期管理，避免所有联网设备都可能存在的潜在的网络安全攻击？如果上汽集团未使用上述方法，行业内是否有其他的技术或流程措施能够避免类似最近的bug再次发生？,公司高度重视智能联网汽车的网络安全，致力于提供高品质、可信赖的产品和服务体验。,2024年01月08日
上汽集团,(600104),上汽集团作为中国汽车业的领军企业，在车规级芯片制造方面是否有自己的布局？中国新能源汽车在全球现是高歌猛进，但应当居安思危，应看到美欧等国不会任由中国新能源汽车业顺利发展，对上汽集团等中国车企的遏制和打压可能随时会展开。上汽集团作为国内最先进的公司，是否在面对美欧制裁时可以从容应对并正常生产经营，这是关键，也是公司的底气所在！希望上汽集团能像华为公司一样，拥有自己的技术储备。,公司正大力推进车规级芯片国产化工作，有序实现国产芯片的上车应用。,2024年01月17日
上汽集团,(600104),上汽集团1月第二星期，上汽集团智己LS6为何销量下滑如此严重？产品质量存在问题吗？上汽集团智己LS6曾被众多消费者看好，务必不要搞砸了。,"去掉打招呼、寒暄的语句后：

主要是国内新能源车市场在去年底冲量后，今年开局相对慢热，市场整体环比有所下滑，但同比仍保持高速增长。智己LS6在同类竞品中的销售表现优异，连续蝉联“中大型纯电SUV”周度销量冠军。",2024年01月17日
上汽集团,(600104),上汽集团去年计划的半固态电池汽车，24年上半年能否如期发布，大概几月份发布？上汽集团最新的半固态电池汽车进展如何？,从今年起，半固态电池将在智己L6等新品上率先实现量产应用，公司正在全力推进相关工作，目标早日将产品投放市场。,2024年01月16日
上汽集团,(600104),上汽集团股票持续低迷，2024年是否有回购计划准备实施？上汽集团旗下荣威、名爵市占率较低，公司是否制定有战略性方案进行调整？,"公司第三期回购自2023年6月开始，回购期限不超12个月。在此期间，公司将根据市场情况适时做出回购决策并实施，同时会根据回购股份事项的进展及时进行信息披露。

荣威名爵将致力于优化和推进产品布局，强化海内外市场的联动性，以扩大品牌影响力。",2024年01月16日
上汽集团,(600104),上汽集团有研发固态电池吗？预计上汽集团的固态电池2024年会装车使用吗？,公司一直致力于先进电池技术的研发和布局，并于2023年8月与国内固态电池领先企业清陶能源合资成立了上汽清陶。该公司目标是通过低成本材料和创新技术，在确保电池高安全性的前提下，开发出超高性价比的新一代固态电池，并实现其在整车上的产业化应用，为消费者提供真正安全节能、高性价比的“爆款电动车”。自2024年起，半固态电池将在公司不同车型上逐步实现量产应用。,2024年01月15日
上汽集团,(600104),上汽集团在红海的商船又受到影响吗？,目前，国内发往欧洲的航船已普遍采用绕行好望角的方式，后续公司将根据情况变化，进行综合评估并采取相应的航行策略。,2024年01月15日
上汽集团,(600104),上汽集团在ESG报告中披露了财务信息，而上汽集团已经在年报中披露过财务信息，为什么还要在ESG报告中再次披露？,主要是为了方便ESG报告的阅读者或使用者了解公司主要经营信息。,2024年01月10日
上汽集团,(600104),2023年上汽集团业绩快报准备发吗？,如根据法规要求出现应发布业绩预告或业绩快报的情形，公司将相应履行信息披露义务。,2024年01月10日
上汽集团,(600104),请问上汽集团是否与上汽集团有销售代理合作？上汽集团24年能否推出固态电池新能源汽车？上汽集团新能源汽车的智能化有哪些亮点？,"广汇汽车作为头部汽车经销商，与国内主要整车企业有销售代理合作。从今年起，半固态电池将在智己L6等新品上实现量产应用。

在智能化方面，上汽推出了行业内领先的“中央计算+区域控制”的全栈3.0智能车解决方案。该方案以智能驾驶和融合体验为核心目标，实现“舱、驾、算、联”四域合一，包括域控制器数量减半、数据带宽提升5倍、线束长度减少30%、OTA速度提升70%，以及IOT生态深度互融，支持数据闭环，使车辆具备强大的自学习、自进化和自成长能力，确保用户享有安全舒心的端到端出行体验。智己LS6上市即爆款，具备“一键AI代驾”及“一键脱困”、“一键贴边”、“一键循迹”等功能，有效解决停车难、倒车难等问题。目前，智己汽车已在全国范围内的333城高速路段和59城高架路段开通了高速高架NOA（领航辅助驾驶），覆盖道路总长40.6万公里，并在上海启动了城市NOA试运行，旨在让用户日常通勤更加智能便捷。这些均为上汽在智能化方面的最新成果，欢迎试用体验。",2024年01月09日
上汽集团,(600104),2023年前三季度，上汽集团的营业总收入为5223亿，净利润为114亿；比亚迪的营业总收入为4223亿，净利润为214亿。同为整车企业，为何两者利润率存在如此显著的差距？,公司正加快向智能电动车新赛道的转型步伐，不仅要在电动化方面提升成本竞争力，更要在智能化方面加大投入、实现行业领跑，以踏踏实实造好车为目标，让用户在购买后能够买得起、用得好、开得爽。我们致力于让更多的“上汽车”进入全球市场，并通过市场竞争展现发展的韧劲，以此回报广大用户和投资者的信任和支持。,2024年01月08日
上汽集团,(600104),上汽集团近段时间网上传智己车故障，上汽集团674位车主客服电话被打爆？有此事吗？,智己汽车已诚恳回应并积极处理相关问题，并致力于给用户带来更好的产品和服务体验。,2024年01月03日
上汽集团,(600104),上汽集团的股东对上汽集团的忽悠式回购意见很大，希望上汽集团不要再通过打压股价进行底价回购。此外，如果上汽集团有意以回购方式维稳股价，请上汽集团切实采取应有的行动，避免贴着最低回购额进行回购，并且不要打压股价，应迅速提升回购额度，尽量缩短回购周期。目前上汽集团的股价绝对不是正常市场经济状况所应反映出来的水平。过去7年股价持续下跌，对所有利好消息视而不见，似乎一味倾向于做空。,公司开展股份回购是为了维护股东利益，强化投资者信心，不含有任何打压股价的目的和行为。自2020年以来，公司已完成了三轮股份回购，累计投入资金超过38亿元，并已决定对首轮回购的约1.08亿股股份进行注销。当前正处于第三轮股份回购的实施阶段，具体进度可参考公司每月发布的回购进展公告。后续，公司将结合市场实际情况，持续推动本轮股份回购工作，旨在改善公司市值表现，积极回馈广大投资者的支持。,2024年01月03日
上汽集团,(600104),董秘，请问今年年报分红会不会和去年一样。低于当年实现利润的30%。分红变少，是企业经营压力大，业绩预期变差的直接明示。,您好，《公司章程》中关于利润分配政策有明确的规定：“公司年度内现金分红总额（包括中期已分配的现金红利）不低于当年度经审计合并报表归属于上市公司股东的净利润的百分之三十。公司当年度实施股票回购所支付的现金视同现金股利。”公司将充分考虑对投资者的回报并兼顾公司可持续发展的需要，合理制定年度分红方案。,2024年01月02日
上汽集团,(600104),董秘你好，公司海外的商船，有没有在受到红海局势的影响？,您好，目前公司发往欧洲的航船已采用绕行好望角的方式，后续将视情况变化，经综合评估后采取相应的航行策略。,2023年12月27日
