字段1,字段2,字段3,字段4,文本,文本1
"
							:上港集团(600018)上港集团在证监会换帅之后，和其他上市公司不同，股价不升反降，非常反常，我想问一下是公司哪里出现了问题吗
						","
							尊敬的投资者，您好。上市公司二级市场股价的波动会受宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响。公司目前生产经营正常稳定，公司将持续聚焦自身发展，努力提升整体价值，力争以优异的业绩回报股东。感谢您对公司的关注。
						",2024年02月22日 09:46,2024年02月27日 16:48,上港集团,(600018)
"
							:上港集团(600018)董秘您好，我一直持有咱们公司的股票。但我发现公司的ESG评级和行业标杆相比仍有较大提升空间，未来会继续制定ESG相关的提升计划，加大信息披露吗？另外在环境方面，清晰的能源消耗控制计划等能给公司带来客观的收益，公司可以做出改进，谢谢。
						","
							尊敬的投资者，您好。我们高度重视ESG建设和发展，连续多年发布可持续发展报告，持续关注外部评价。我们不断提升治理水平，积极推动节能减排和绿色低碳发展，注重员工保障等可持续发展重要议题。我们将持续深化可持续发展理念，不断推进ESG建设和发展，感谢您对公司的建议和关注。
						",2024年01月26日 13:28,2024年02月20日 16:34,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘，您好！贵公司在2020年年报中披露实施的“区块链综合服务平台”属于私有链，开放链，还是联盟链？
						","
							尊敬的投资者，您好。长江港航区块链综合服务平台属于港航联盟链。感谢您对公司的关注。
						",2024年01月29日 09:24,2024年02月20日 16:34,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘，您好！贵公司在2020年年报中披露实施的“区块链综合服务平台”是否提高了与客户共享数据信息的要求？对贵公司客户构成有影响吗？
						","
							尊敬的投资者，您好。公司于2020年投入使用长江港航区块链综合服务平台，该平台通过系统间信息互联、业务互通、数据互认，实现港口服务电子化、网络化、无纸化，提高港口服务效率，进一步提升信息传递的时效性和安全性，为客户提供更便捷和优质的服务。通过数据信息共享，丰富了客户服务内涵。感谢您对公司的关注。
						",2024年01月29日 09:36,2024年02月20日 16:34,上港集团,(600018)
"
							:上港集团(600018)近五年，公司客户的数量平均是多少？
						","
							尊敬的投资者，您好。公司主要从事港口相关业务，主要客户涉及船公司、货主等，感谢您对公司的关注。
						",2024年01月29日 13:57,2024年02月20日 16:34,上港集团,(600018)
"
							:上港集团(600018)贵公司近几年业绩增长，归母净利润达到了一百多亿以上，然而股利支付率却达到了历史最低的百分之十九不到，这损害投资者的利益，伤害了投资者的信心，直接影响了公司的股票价值，公司股票价格低迷的原因所在。公司不能只顾投资忽视大多数股东的权益，强烈要求公司修改章程，提高股利支付率。
						","
							尊敬的投资者，您好。公司十分重视股东回报，努力争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报全体股东。感谢您对公司的建议。
						",2024年01月04日 17:49,2024年01月12日 17:03,上港集团,(600018)
"
							:上港集团(600018)请问公司有转融通业务吗？ 
						","
							尊敬的投资者您好，公司目前没有转融通业务。感谢您对公司的关注。
						",2023年12月27日 09:39,2023年12月29日 10:38,上港集团,(600018)
"
							:上港集团(600018)董秘您好，公司23年三季报显示公司净利润同比降低。根据碧湾APP分析，净利润为120.04亿元，去年同期为161.22亿元，同比下降25.54%，净利润同比下降的原因是投资收益本期为59.09亿元，同比大幅下降38.30%。请问投资收益本期下降的原因是什么？
						","
							尊敬的投资者您好，主要原因是公司参股航运公司利润同比减少。感谢您对公司的关注。
						",2023年12月19日 15:11,2023年12月21日 15:19,上港集团,(600018)
"
							:上港集团(600018)我关注到贵司在业内的能源、电力使用和废物产生量都处于一个比较高的水平，在碳减排的压力下你们有没有对这个问题进行一些调整和优化？另外对ESG这个指标怎么看？我查了下MSCI的评级是B，华证的评级是BB，和业内领先水平有差距，请问董秘您怎么看？
						","
							尊敬的投资者您好，公司牢固树立创新、协调、绿色、开放、共享的发展理念，始终将生态文明建设、绿色发展理念融入港口发展的各方面和全过程，努力构建清洁低碳港口用能体系。公司十分重视ESG相关工作，始终贯彻ESG的可持续发展理念，并连续多年发布可持续发展报告，公司将结合实际，进一步加强相关工作。感谢您对公司的关注。
						",2023年12月12日 10:22,2023年12月14日 15:43,上港集团,(600018)
"
							:上港集团(600018)请问您认为贵公司面临怎样程度的气候风险？其中面临的物理气候风险、转型气候风险分别为怎样的程度？请您分别为贵公司面临的气候风险（整体）、物理气候风险、转型气候风险的程度打分，请打1-5分，1为面临的风险程度最低，5为面临的风险程度最高。谢谢！
						","
							尊敬的投资者您好，公司十分重视并采取积极策略识别、应对气候风险，多维度不断提升气候风险管理能力。感谢您对公司的关注。
						",2023年12月06日 11:20,2023年12月14日 15:41,上港集团,(600018)
,,,,上港集团,(600018)
