company_name,company_code,question,answer,ask_date
上港集团,(600018),上港集团在证监会换帅之后，与其他上市公司不同，其股价不升反降，此情况非常反常。请问是上港集团内部出现了什么问题吗？,上市公司二级市场股价波动会受宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响。公司目前生产经营正常稳定，将持续聚焦自身发展，努力提升整体价值，力争以优异的业绩回报股东。,2024年02月22日
上港集团,(600018),上港集团，我一直持有贵公司的股票。但发现上港集团的ESG评级与行业标杆相比仍有较大提升空间，未来是否会继续制定与ESG相关的提升计划并加大信息披露？另外，在环境方面，若实施清晰的能源消耗控制计划等措施，将能为上港集团带来客观的收益，建议公司对此进行改进。,我们高度重视ESG建设和发展，连续多年发布可持续发展报告，持续关注外部评价。我们不断提升治理水平，积极推动节能减排和绿色低碳发展，注重员工保障等可持续发展重要议题。我们将持续深化可持续发展理念，不断推进ESG建设和发展。,2024年01月26日
上港集团,(600018),上港集团在2020年年报中披露实施的“区块链综合服务平台”属于私有链、开放链还是联盟链？,长江港航区块链综合服务平台属于港航联盟链。,2024年01月29日
上港集团,(600018),上港集团在2020年年报中披露实施的“区块链综合服务平台”是否提高了与客户共享数据信息的要求？对上港集团客户构成有影响吗？,公司于2020年投入使用长江港航区块链综合服务平台，该平台实现系统间信息互联、业务互通、数据互认，进而达成港口服务电子化、网络化、无纸化目标，有效提升港口服务效率及信息传递的时效性和安全性，并为客户提供更加便捷和优质的服务。通过数据信息共享，我们丰富了客户服务内容。,2024年01月29日
上港集团,(600018),近五年，上港集团的客户数量平均是多少？,公司主要从事港口相关业务，主要客户涉及船公司、货主等。,2024年01月29日
上港集团,(600018),上港集团近几年业绩增长，归母净利润达到了一百多亿以上，然而股利支付率却达到了该集团历史最低的百分之十九不到，这损害了投资者的利益，伤害了投资者的信心，直接影响了上港集团的股票价值，是公司股票价格低迷的原因所在。上港集团不能只顾投资而忽视大多数股东的权益，强烈要求公司修改章程，提高股利支付率。,公司十分重视股东回报，致力于经营业绩的可持续增长，旨在以长期、稳定、优良的业绩回报全体股东。对于您的建议，我们已收到并高度重视。,2024年01月04日
上港集团,(600018),请问上港集团有转融通业务吗？,公司目前没有转融通业务。,2023年12月27日
上港集团,(600018),上港集团23年三季报显示，上港集团净利润同比降低。根据碧湾APP分析，净利润为120.04亿元，去年同期为161.22亿元，同比下降25.54%。净利润同比下降的原因是上港集团投资收益本期为59.09亿元，同比大幅下降38.30%。请问投资收益本期下降的原因是什么？,主要原因是公司参股航运公司利润同比减少。,2023年12月19日
上港集团,(600018),我关注到上港集团在业内的能源、电力使用和废物产生量都处于一个比较高的水平，在碳减排的压力下上港集团有没有对这个问题进行一些调整和优化？另外，上港集团对ESG这个指标怎么看？我查了下MSCI的评级是B，华证的评级是BB，这些评级与业内领先水平存在差距，请问上港集团如何看待这一情况？,公司牢固树立创新、协调、绿色、开放、共享的发展理念，始终将生态文明建设、绿色发展理念融入港口发展的各方面和全过程，致力于构建清洁低碳港口用能体系。公司高度重视ESG相关工作，始终坚持贯彻ESG的可持续发展理念，并连续多年发布可持续发展报告。公司将结合实际情况，进一步强化相关工作。,2023年12月12日
上港集团,(600018),请问上港集团认为自身面临怎样程度的气候风险？其中面临的物理气候风险、转型气候风险分别为怎样的程度？请上港集团分别为自身面临的气候风险（整体）、物理气候风险、转型气候风险的程度打分，请打1-5分，1表示面临的风险程度最低，5表示面临的风险程度最高。,公司十分重视并采取积极策略识别、应对气候风险，持续提升多维度的气候风险管理能力。,2023年12月06日
上港集团,(600018),"上港集团去年利润172亿，分配了32亿。22年度上港集团现金分红金额占合并报表中归属于上市公司股东的净利润比例为18.93%。
近期上港集团股价非常低迷，跌破净资产。作为一家负责任的国企，希望上港集团拿出诚意，对A股进行回购，给深爱公司的投资者一丝持股信心。",二级市场股价波动会受到宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响。公司正努力争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报投资者。目前，公司并无回购计划。,2023年11月13日
上港集团,(600018),《公司章程》明确规定，上港集团每年应将当年利润中不少于50％的可分配利润向股东进行分配，为什么2022年分红只占合并报表归属上港集团股东净利润的19%？,"根据《上海证券交易所股票上市规则》相关规定，上市公司在制定利润分配方案时，应以母公司报表中可供分配利润为依据。公司2022年度利润分配方案基于经审计的母公司财务报表数据，决定派发现金红利3,259,780,265元，这一数额超过2022年可分配利润的50%，符合《公司章程》对现金分红比例的要求。",2023年11月09日
上港集团,(600018),上港集团的股票价格多年来未见提升，这可能与股票市场有关，但无疑也与上港集团自身有联系。在自家股票市值尚未管理妥当的情况下，上港集团又进行了分拆上市的操作。对于上港集团领导层的想法，不清楚其究竟是出于对公司发展的深思熟虑还是其他原因。,二级市场股价波动会受到宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响，公司致力于争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报全体股东。,2023年11月02日
上港集团,(600018),向上港集团子公司上港足球俱乐部夺取今年中超联赛冠军表示祝贺，明年是否会加大上港足球俱乐部的投入，为取得更好的成绩做准备，每年红利少分点，以便上港集团能够将更多资金投入到俱乐部中。,有关俱乐部相关信息，请关注俱乐部官方发布。,2023年10月31日
上港集团,(600018),上港集团这几年业绩有了明显提升，有没有计划提高分红率？,公司高度重视股东回报，《公司章程》明确要求，每年须将不少于当年利润50％的可分配利润分配给股东。公司将依据《公司章程》执行积极稳定的股利政策，敬请关注公司发布的年度利润分配方案公告。,2023年10月23日
上港集团,(600018),上港集团自启动分拆上市计划以来，其股价持续下跌，上港集团董事会是否考虑停止进行分拆上市计划，以稳定上港集团的股价？同时，上港集团是否回购股份，以防止股票持续下跌呢？,今年9月，中国证监会发布《关于同意上海锦江航运（集团）股份有限公司首次公开发行股票注册的批复》，同意锦江航运首次公开发行股票的注册申请。目前，公司正推进子公司锦江航运上市的相关工作。二级市场股价波动受宏观经济、大盘走势、市场环境、市场预期等多种复杂因素影响，公司致力于争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报全体股东。,2023年10月19日
上港集团,(600018),上港集团自2020年以来，估值水平处于行业垫底位置，上港集团是否真诚重视中小股东利益？上港集团是否分析过估值偏低的原因？上港集团是否考虑过包括国资和中小股东在内的低收益问题？,公司高度重视股东利益。在资本市场，公司的估值受宏观经济形势、投资者风险偏好及公司经营业绩等多元因素影响。公司将致力于主业经营的提升，增强盈利能力和市场竞争力，以优秀的业绩回馈广大投资者。同时，公司通过官网、邮箱、投资者热线、股东大会、业绩说明会、投资者接待、上证E互动等多种渠道，不断强化与投资者的沟通交流，并积极传播公司价值。,2023年09月11日
上港集团,(600018),上港集团人均薪酬远高于同行业是什么原因？,公司积极探索建立以公平为基础、效率为导向、岗位为核心、绩效为依据的富有竞争力的激励型薪酬分配机制。公司根据国家法律法规制定了相关薪酬管理制度，并严格执行国家有关劳动人事的法律法规，规范实施公司薪酬福利的分配和支付。,2023年09月07日
上港集团,(600018),上港集团是否对离退休人员有其他待遇？,公司离退休人员依据国家有关法规规定，按月领取由社会保险部门发放的基本养老金。同时，公司按照对离退休人员关心关爱的相关政策，为其提供相关服务。,2023年09月07日
上港集团,(600018),上港集团23年度半年报利润表中联合营公司投资收益与注释差160959.73元，而22年半年报前后完全相符，请问是什么原因造成这种情行？,差额系2022年度下属子公司向其联营单位购买资产，属于逆流交易。根据会计准则，资产增值部分对应的内部交易损益后续通过固定资产折旧实现，本期已通过资产折旧转回。,2023年09月01日
上港集团,(600018),上港集团23年度半年报中应收股利9.8亿一项，是否为邮储银行的分红尚未到账？除邮储银行分红外，其他联合营公司的宣告分红均已到账，是这样吗？,半年报中应收股利9.8亿元系应收邮储银行分红，其他合联营公司宣告分红均已到账。,2023年09月01日
上港集团,(600018),请问拆分锦江航运后，上港集团的净资产会增加吗？,本次分拆上市完成后，上港集团仍将控制锦江航运，锦江航运仍为合并财务报表范围内的子公司，其财务状况、经营成果和盈利能力将持续反映在合并报表中。尽管分拆将导致公司持有锦江航运权益的摊薄，但通过本次分拆上市，锦江航运的投融资能力及市场竞争力将进一步提升，资本实力得到增强，业务发展也将提速，这有助于提升公司未来的综合竞争能力和整体盈利水平。,2023年07月17日
上港集团,(600018),我想请上港集团董事长回答，上港集团的股票价格一直在下跌，董事长认为是什么原因造成的，董事会成员是否也有过讨论，出台一些稳定的政策。2022年上港集团的业绩明明非常靓丽，但股票价格并未提升。,公司股价波动受多种因素影响，其中公司基本面是重要因素，宏观经济状况和二级市场供求关系的影响也不容忽视。公司注重市值管理，通过多渠道与广大投资者保持沟通，积极传递公司发展价值。同时，公司致力于实现经营业绩的可持续增长，以长期、稳定、优良的业绩回报全体股东。,2023年07月17日
上港集团,(600018),上港集团今年的业绩有望好转吗？,公司将于8月30日披露半年度报告，具体业绩情况可届时查阅半年度报告。,2023年07月03日
上港集团,(600018),上港集团分拆锦江航运上市时，持有上港集团股份的股东是否享有优先认购或配送锦江航运股份的权利？,根据《上市公司分拆规则(试行)》及《公司法》，结合其他A股上市公司分拆上市案例，锦江航运本次分拆上市未设置上市公司股东优先认购权。,2023年06月27日
上港集团,(600018),上港集团是否有开通新媒体沟通平台？如果有，是否会考虑在官网公示相关信息？,公司设有微信公众号“上港家园”，并在官网（www.portshanghai.com.cn）设有“投资者关系”栏目，会及时披露公司公告信息，敬请查阅。,2023年06月16日
上港集团,(600018),上港集团在较长时间内，在港口行业估值排位倒数，此市值水平与公司作为世界第一大港的地位完全颠倒。请问上港集团管理层对此有何看法和对策？建议修改《公司章程》，将分红方式调整为按照合并报表利润进行利润分配。公司是否应适当压缩资本开支，以实现股东回报和长期发展的平衡兼顾。,"一、公司在资本市场估值受到宏观经济形势、投资者风险偏好、公司经营业绩等多种因素影响。公司将致力于主营业务的优化经营，提升盈利能力和市场竞争力，以优秀的业绩回馈广大投资者。同时，公司通过官网、邮箱、投资者热线、股东大会、业绩说明会、投资者接待及上证E互动等多元渠道，持续强化与投资者的沟通交流，有效传达公司价值。

二、关于利润分配问题，《上海证券交易所股票上市规则》规定上市公司制定利润分配方案时应以母公司报表中可供分配利润为依据。同时，公司不断致力于提高自身竞争力，有效控制成本和费用的增长，持续提升盈利能力和盈利水平，力求实现对投资者长期稳定的回报。",2023年06月14日
上港集团,(600018),上港集团声称致力于为股东创造长期稳定回报，但是近几年在市值管理方面未见显著动作，分红力度一般，职工薪酬水平较高。请问上港集团如何平衡职工薪酬与分红之间的关系？,公司重视股东投资回报。我们致力于做强做优做大港口主业，以提高自身竞争力、提升盈利能力和盈利水平为目标，力求实现对投资者长期持续稳定的回报。我们通过官网、邮箱、投资者热线、业绩说明会、上证E互动等多元渠道加强与投资者的沟通交流，有效传递公司发展价值。自上市以来，公司始终按照《公司章程》的规定，及时、足额向股东进行利润分配，保障股东权益。在职工薪酬方面，公司积极构建公平为基础、效率为导向、岗位为核心、绩效为依据的激励型薪酬分配机制，并依据国家法律法规制定了相关薪酬管理制度，严格执行国家劳动人事法律法规，规范实施公司薪酬福利的分配和支付。,2023年06月05日
上港集团,(600018),"上港集团分红方案看似符合规定。然而，通过查阅其他上市公司的利润分配方案，发现多数是依据合并报表归属于母公司的净利润为基数来制定分红方案。例如，青岛港2022年的分红方案中，“当年可用于分配利润计算口径为按中国会计准则编制的合并财务报表中归属于母公司的净利润扣减累计亏损弥补额、母子公司计提的法定公积金及必要的其他储备金额等”。因此，上港集团的净利润分配基数是否就是年报第144页所示数字“17,223,915,520.79”？请予以解释说明。","根据《上海证券交易所股票上市规则》“5.3.2 条款，上市公司在制定利润分配方案时，应以母公司报表中可供分配利润为依据”。公司2022年度利润分配方案基于经审计的母公司财务报表数据，该年度，公司母公司净利润为人民币7,230,118,307.20元。按照《公司章程》相关规定，提取法定公积金10%之后，可分配利润为人民币6,507,106,476.48元。",2023年05月29日
上港集团,(600018),"上港集团2022年年报显示，第6页归属于上市公司股东的净利润为17,223,915,520.79元，约合172.24亿元，每股收益0.7423元。根据22年资产负债表，当年净利润提取了法定公积和任意盈余公积共22.25亿，向少数股东分配8.25亿。鉴于上港集团近年来未出现亏损无需弥补亏损，因此剩余的净利润141.74亿被视为可供股东分配的利润。据此计算，22年分红32.6亿占可分配利润比率是23%，并未出现分红率超过50%的情况。",根据《上海证券交易所股票上市规则》“5.3.2 条款规定，上市公司在制定利润分配方案时，应以母公司报表中可供分配利润为依据。本公司利润分配方案即以此为基础，基于经审计的母公司可供分配利润。公司已在2023年4月4日发布了2022年年度利润分配方案公告，具体分配方案内容请参阅公告内容。,2023年05月26日
上港集团,(600018),上港集团称自己已分红的金额达到“可分配利润的50%”，请问公司如何定义“可分配利润”？且既然为可分配利润，为何上港集团每年都只分50%，是因为公司的实际支付能力仅有50%吗？上港集团股价常年市盈率在10以下，市净率徘徊在1左右……公司如何看待这与分红能力之间的关系。,一、根据《上海证券交易所股票上市规则》第5.3.2条，上市公司在制定利润分配方案时，以母公司报表中经审计的可供分配利润为依据。二、“可分配利润”是指，根据《公司法》第167条规定，公司在弥补亏损和提取公积金后的税后利润，按照股东持有的股份比例进行分配。三、公司每年的分红方案遵循《公司章程》，同时综合考虑股东利益、公司财务状况、经营策略，包括扩大生产、对外投资以及应对不确定风险和机遇所需的资金需求。四、公司的市盈率和市净率等指标不能直接体现其分红能力，分红能力需结合公司的财务稳定性和经营策略等因素进行全面评估。,2023年05月25日
