字段1,字段2,字段3,字段4,文本,文本1
提议公司注销回购股份,尊敬的投资者：您好，感谢您的建议。,2024-2-8,2024-2-8,东方财富,[300059]
董秘你好，请问一下，我们散户通过东方财富交易系统交易的股票，股票池是不是只显示东方财富系统，不会细分到每一个账户？ 这部分的持股，是否也会被东方财富公司拿去转融通借出？ 东方财富转融通借出的是自营盘持股还是包含散户持有的某只股票的股份，只要通过东方财富购买持有的某家公司股票，都可以被东方财富转融通借出去？,尊敬的投资者：您好，投资者在东方财富证券开立的证券账户持股为投资者个人持有，由中国证券登记结算有限责任公司依法托管和登记结算，东方财富证券不能将其用于转融通。,2024-2-8,2024-2-8,东方财富,[300059]
董秘你好，关于贵公司2021年8月份的4800万股权激励项目实施的具体情况？21年和22年的业绩达标了，23年的净利润业绩未到达要求,尊敬的投资者：您好，公司2023年度业绩尚未披露，2023年年度报告将于2024年3月16日披露，感谢关注。,2024-2-8,2024-2-8,东方财富,[300059]
在金融领域，妙想比ChatGPT好是对比最新版的吗？,尊敬的投资者：您好，妙想金融大模型作为金融行业的垂直大模型，更加关注金融场景的垂直能力。感谢关注。,2024-2-8,2024-2-8,东方财富,[300059]
据公开信息披露，贵公司行业内不少企业运营管理中都实施了区块链技术，是否对贵公司维系现有客户关系产生了新挑战？是否影响了贵公司的市场竞争优势？贵公司是否也有计划实施区块链技术？,尊敬的投资者：您好，公司紧密跟踪最新技术趋势，立足自身战略定位，以用户需求为中心，不断推进和完善互联网财富管理生态圈建设，感谢您对公司的关注。,2024-2-8,2024-2-8,东方财富,[300059]
目前股票二级市场价格非常便宜，对外延试扩张是千载难逢的机会，建议董事会积极果断谋划。,尊敬的投资者：您好，感谢您对公司的关注和建议。,2024-1-29,2024-1-29,东方财富,[300059]
建议公司将回购的股份予以注销，回报投资者,尊敬的投资者：您好，感谢您的建议。,2024-1-29,2024-1-29,东方财富,[300059]
其总您好！欣闻公司的妙想大模型已经内测即将推出，非常期待，觉得这是金融领域的一件大事，是实现领导人提出的建设金融强国的重要组成部分，还望尽早推出，并建议:妙想大模型推出后设定一个月的免费试用期，然后开启付费订阅使用模式。好的有价值的Ai产品本身就应该使用收费模式，在国外都是如此。相信妙想大模型对金融投资者提升投资决策水平和提高信息收集处理效率具有非常重要的价值，本人就愿意付费！请问建议有合理性吗？,尊敬的投资者：您好，感谢您对公司的关注和建议。,2024-1-29,2024-1-29,东方财富,[300059]
最新的股东情况什么时候公布,尊敬的投资者：您好！公司在定期报告中披露公司季度末、半年度末以及年度末的股东人数，感谢关注。,2024-1-29,2024-1-29,东方财富,[300059]
请问公司是否有赴港上市或分拆旗下哈富证券在港上市计划？,尊敬的投资者：您好，感谢您对公司的关注和建议。如果有需要披露的信息，公司会履行信息披露义务。,2024-1-29,2024-1-29,东方财富,[300059]
,,,,东方财富,[300059]
公司2023年能否通过大幅增加现金分红比例来回馈广大股东？,尊敬的投资者：您好，感谢您的建议。,2024-1-29,2024-1-29,东方财富,[300059]
公司是否该注销一些股本，股本太大,尊敬的投资者：您好，感谢您对公司的关注和建议。,2024-1-29,2024-1-29,东方财富,[300059]
請問，公司有哪些數據資產？謝謝。,尊敬的投资者：您好，公司将按照会计准则的相关规定编制财务报表。感谢关注。,2024-1-29,2024-1-29,东方财富,[300059]
定期报告连个附注都没有，看不出来全公司共有多少个普通交易单元，每个营业部是否有1个？,尊敬的投资者：您好，感谢您对公司的关注，您可以通过东方财富证券官网查看营业部交易单元相关信息。,2024-1-29,2024-1-29,东方财富,[300059]
"董秘你好,公司现在有无开发鸿蒙板的电脑和手机软件",尊敬的投资者：您好，公司已完成旗下包括东方财富、天天基金、东方财富期货鸿蒙原生应用Beta版本开发。感谢关注。,2024-1-29,2024-1-29,东方财富,[300059]
請問同花順已經與華為鴻蒙達成合作，貴司處於落後位置準備如何應對？謝謝。,尊敬的投资者：您好，公司与华 为双方围绕互联网金融业务，在应用生态、浏览器、服务广告、服务分发、鸿蒙生态等领域开展合作。,2024-1-29,2024-1-29,东方财富,[300059]
"请问董秘,贵司目前是否有和华为或者华为汽车业务有业务合作?",尊敬的投资者：您好，双方有业务合作。,2024-1-29,2024-1-29,东方财富,[300059]
在金融领域，妙想比ChatGPT好是对比最新版的吗？,尊敬的投资者：您好，感谢您对公司的关注和支持。妙想金融大模型作为金融行业的垂直大模型，更加关注金融场景的垂直能力。,2024-1-12,2024-1-12,东方财富,[300059]
请问，公司计划如何运营最近发布的金融大模型产品？从大模型的名字上看，既没有体现出是东方财富的研发产品，也没有体现出是金融类大模型产品，谢谢。,尊敬的投资者：您好，感谢您对公司的关注和支持。,2024-1-12,2024-1-12,东方财富,[300059]
公司近期出现拆价大宗交易是什么情况啊,尊敬的投资者：您好，公司有关注到市场投资者开展的大宗交易。,2024-1-12,2024-1-12,东方财富,[300059]
剩余的5亿还回购吗？,尊敬的投资者：您好！公司后续将结合市场等情况在回购期限内继续实施本次股份回购方案。感谢您对公司的关注。,2024-1-12,2024-1-12,东方财富,[300059]
请问截止2024年1月11日股东人数有多少,尊敬的投资者：您好！公司在定期报告中披露公司季度末、半年度末以及年度末的股东人数，感谢关注。,2024-1-12,2024-1-12,东方财富,[300059]
請問，公司的金融大模型何時開始內測？謝謝。,尊敬的投资者：您好，感谢您对公司的关注和支持。东方财富自主研发的妙想金融大模型已于近日开启内测。,2024-1-12,2024-1-12,东方财富,[300059]
請問，公司是如何參與OpenFinData的，數據資產入表對公司業績有何影響？謝謝。,尊敬的投资者：您好，上海人工智能实验室联合东方财富推出了开源金融评测数据集OpenFinData，为行业研究和模型评测提供了标准和手段。感谢关注。,2024-1-12,2024-1-12,东方财富,[300059]
"请问东方财富,旗下天天基金网有没有计划和腾讯微信合作,春节期间推出沪深300etf红包雨活动,让全民开户买基金",尊敬的投资者：您好！感谢您对公司的关注和建议。,2024-1-12,2024-1-12,东方财富,[300059]
請問，貴司備案的金融大模型的正式名稱是什麼？謝謝。,尊敬的投资者：您好，感谢关注。妙想金融大模型是东方财富重磅打造的金融行业大语言模型，致力于成为用户随时随地的金融百科全书和专业投资者的投研提效利器，贴心服务金融场景用户。,2024-1-12,2024-1-12,东方财富,[300059]
请问，同花顺大模型产品已经开放内测，贵司在人工智能领域处处落后竞争对手准备如何应对？谢谢。,尊敬的投资者：您好，感谢关注。妙想金融大模型是东方财富重磅打造的金融行业大语言模型，已于近日进入内测阶段。,2024-1-12,2024-1-12,东方财富,[300059]
请问公司有数据要素x概念吗,尊敬的投资者：您好。Choice数据旗下拥有 Choice金融终端、Choice数据API、Choice数据APP和Choice数据库等产品，通过加工数据要素为客户提供信息服务，感谢关注。,2024-1-12,2024-1-12,东方财富,[300059]
