字段1,字段2,字段3,字段4,文本,文本1
请问截止2024年2月29日收盘的股东户数是多少?谢谢,"您好！截至2024年2月29日公司股东共计146,123户。谢谢！",2024-3-3,2024-3-3,金龙鱼,[300999]
董秘你好，请问截止到2024年2月29日，贵公司股东户数是多少？谢谢啦！！！,"您好！截至2024年2月29日公司股东共计146,123户。谢谢！",2024-3-3,2024-3-3,金龙鱼,[300999]
您好，尊敬的董秘。国家提出要坚持不懈抓好“三农”工作，扎实推进乡村全面振兴，今年益海嘉里金龙鱼会在乡村振兴上继续做好哪些工作？非常感谢。,您好！公司会一如既往积极响应乡村振兴政策，结合集团优势和当地特色资源，深入开展产业助农、人才兴农、教育扶农、生态惠农等工作。谢谢！,2024-3-3,2024-3-3,金龙鱼,[300999]
您好，尊敬的董秘。根据媒体报道金龙鱼投资成立清洁科技公司 业务含物联网技术服务。经营范围包含：病媒生物服务；病媒生物密度控制水平评价服务；病媒生物密度监测评价服务；物联网应用服务；物联网技术服务等。这些营收会纳入上市公司么？非常感谢。,您好！公司与狮王公司合作成立了益海嘉里狮王（上海）清洁科技有限公司，公司持有其51%股权，其销售收入属于公司营收范围。谢谢！,2024-3-3,2024-3-3,金龙鱼,[300999]
您好，尊敬的董秘。国家提出要大力推进现代化产业体系建设，加快发展新质生产力。对于此益海嘉里金龙鱼有何部署响应？非常感谢。,您好！关于这方面的情况，公司目前没有需要公开披露的信息。谢谢！,2024-3-3,2024-3-3,金龙鱼,[300999]
"尊敬的董秘,您好:请问公司有没有向英伟达和OpenAI直接供应所需要的食用油?",您好！关于这方面的情况，公司目前没有需要公开披露的信息。谢谢！,2024-2-28,2024-2-28,金龙鱼,[300999]
您好，六步鲜大米是去年刚上市的，现在六步鲜大米的销量如何！！,您好！公司六步鲜大米上市后获得了良好的市场反馈。关于销量情况，公司目前没有需要公开披露的信息。谢谢！,2024-2-27,2024-2-27,金龙鱼,[300999]
尊敬的董秘您好：小麦面粉原材料价格高时，贵公司说原材料价格上涨导致利润下降。现在小麦原材料价格下来了，你们又在2023年业绩快报里说需求萎靡市场竞争激烈导致利润下降。原材料不管高低，贵公司的利润怎么都下滑？请董秘广大散户投资者个解释。,您好！公司近几年受宏观环境以及农产品价格等因素影响，利润有所波动。不同业务板块业绩受原材料价格波动的影响是不同的，通常来说，在原材料价格下跌的时候，C端产品的利润相对较好，而B端产品需要消化高价原材料库存，利润可能短期承压。在原材料价格上涨的时候，B端产品的利润相对较好，而C端产品的利润空间可能受到挤压。我们将一如既往做好各项经营工作，充分利用公司的自身优势，持续为消费者提供安全、营养、健康、美味的优质食品，持续扩展产业布局的深度和广度，进而提升公司的竞争力。我们十分看好中国食品市场的前景，对公司长远发展充满信心。谢谢！,2024-2-27,2024-2-27,金龙鱼,[300999]
您好，尊敬的董秘。金龙鱼产品是否有销售给英伟达（中国）和华为公司？是否与之达成长期供应协议？非常感谢。,您好！关于这方面的情况，公司目前没有需要公开披露的信息。谢谢！,2024-2-27,2024-2-27,金龙鱼,[300999]
董秘你好，公司大股东有没有减持计划，现在的价位出售股票比较适合。,您好！公司控股股东目前没有减持计划。谢谢！,2024-2-27,2024-2-27,金龙鱼,[300999]
,,,,,
公司的中央厨房截止目前运营是否正常？盈利还是亏损？之前中央厨房借助亚运会契机筹备建立！目前中央厨房产品包含什么？企事业单位配送盒饭？还是预制菜？？线上销售？有没有给餐饮加盟代工？米村拌饭，还是真功夫？还是那些品牌？,您好！公司央厨项目进展良好，产品包括学生餐、政企餐、社区餐、便当、预制菜、常温米饭等。目前已经与一些肉类、蔬菜、海鲜等企业建立合作关系。关于具体的盈利情况，公司目前没有需要公开披露的信息。谢谢！,2024-2-27,2024-2-27,金龙鱼,[300999]
截止到现在公司在营业的中央厨房工厂具体有多少个？在建的有多少个？预计2025年总共能投产多少家？,您好！目前，公司有5个央厨项目已建成投产：杭州、周口、重庆、兴平和廊坊，筹建中的项目有：沈阳、淮安、昆山、兖州、广州等，预计于未来两年左右建成投产。谢谢！,2024-2-27,2024-2-27,金龙鱼,[300999]
贵公司目前已做到米面油基础产品第一了，公司未来增长点在哪里？,您好！目前，公司在小包装油领域市占率较高，但在米、面方面的整体市场占有率还很小，具有很大的成长空间。随着居民生活水平的提高，消费者对食品品质要求越来越高，对食品的个性化消费需求也会增加，公司会持续研究消费需求变化，为消费者提供更多优质、健康的新产品，促进产品结构升级。同时，公司在不断地布局与现有业务互补的新业务，已将自身的产品线逐渐拓展至调味品、酵母、日化用品、植物肉以及中央厨房等领域。谢谢！,2024-2-26,2024-2-26,金龙鱼,[300999]
您好，尊敬的董秘。金龙鱼发布2023年业绩快报，自上市至今，金龙鱼扣非利润越来越低，未来将会采用哪些办法提高至2020年水平？非常感谢。,您好！ 我们将一如既往做好各项经营工作，充分利用公司的自身优势，持续为消费者提供安全、营养、健康、美味的优质食品，持续扩展产业布局的深度和广度，进而提升公司的竞争力。我们十分看好中国食品市场的前景，对公司长远发展充满信心。谢谢！,2024-2-26,2024-2-26,金龙鱼,[300999]
贵公司原材料涨跌都不赚钱，未来全球人口下降，贵公司是如何考虑的？,您好！公司近几年受宏观环境以及农产品价格等因素影响，利润有所波动。不同业务板块业绩受原材料价格波动的影响是不同的，通常来说，在原材料价格下跌的时候，C端产品的利润相对较好，而B端产品需要消化高价原材料库存，利润可能短期承压。但我们对公司未来发展是有信心的。中国拥有约14亿人口，食品市场很大，而且随着中国经济的持续发展，消费者对优质产品的需求会更多。同时，中国消费者对饮食文化十分讲究，我们预计未来中国市场不仅会是世界上最大的，而且也会是最多元化及高品质的食品市场。我们的目标是要满足国人对食品质量更好、更美味、更健康、更安全、价格更合理的需求。谢谢！,2024-2-26,2024-2-26,金龙鱼,[300999]
目前小吃和零食越来越贵，贵公司有这方面的投资么？,您好！公司已进入休闲食品领域，公司与家乐氏公司合资的益海嘉里家乐氏公司有从事休闲食品的生产和销售，产品包括品客薯片等。谢谢！,2024-2-26,2024-2-26,金龙鱼,[300999]
